feature,category,phishing_mean,benign_mean,phishing_median,benign_median,mean_diff_phish_minus_benign,median_diff_phish_minus_benign,mannwhitney_p_value,ks_p_value,auc_direction_phish_larger,single_feature_auc,cliffs_delta,q_value,is_effective
packet_rate,basic_scale_time,183.8369399325484,232.4798573715352,59.93910384457862,127.28852640858784,-48.642917438986785,-67.34942256400922,5.7302563617450434e-154,6.156287394277801e-176,0.39208251825182516,0.6079174817481748,-0.21583496349634967,1.7364413217409222e-153,True
iat_cv,iat_stats,4.966856549373726,6.0919494026687975,3.7386650224213023,4.812601414197395,-1.1250928532950715,-1.0739363917760931,8.426591214579467e-150,5.291712105595141e-165,0.3935728072807281,0.6064271927192719,-0.21285438543854385,2.4075974898798475e-149,True
bin_5_pkt_count_ratio,time_bins,0.2161121160368136,0.15356835468816277,0.16711590296495957,0.09391501741085204,0.06254376134865083,0.07320088555410753,2.0023410792065427e-149,2.8190926047397956e-112,0.606266096609661,0.606266096609661,0.21253219321932204,5.562058553351508e-149,True
byte_rate,basic_scale_time,174937.93691793262,215980.6527560649,38873.280840291314,102518.69550889777,-41042.71583813228,-63645.414668606456,2.1472736248520537e-145,1.0879771388794379e-184,0.39517144714471447,0.6048285528552855,-0.20965710571057106,5.803442229329874e-145,True
first_20_bytes_fraction,early_window,0.27539271925065284,0.1532809273837722,0.04197868147617342,0.015206380138494274,0.12211179186688065,0.026772301337679143,8.35057777774764e-142,1.4214251025094931e-167,0.6034364336433643,0.6034364336433643,0.2068728672867286,2.1411737891660617e-141,True
iat_lt_010_ratio,iat_thresholds,0.7293986002298838,0.8417692100239536,0.8518518518518519,0.916516620386683,-0.11237060979406976,-0.06466476853483116,2.4734670796747845e-136,4.3193779651207347e-181,0.39856114611461146,0.6014388538853885,-0.20287770777077707,6.032846535792157e-136,True
time_to_80pct_bytes_ratio,cumulative_shape,0.7144239474112459,0.6353278207652533,0.762432865594932,0.6711484394087366,0.07909612664599264,0.09128442618619537,2.7776033556243067e-134,3.877386709860286e-97,0.6006847534753476,0.6006847534753476,0.2013695069506951,6.613341322915016e-134,True
pkt_len_mad,packet_length_stats,82.82503250325033,149.94915,12.0,64.0,-67.12411749674968,-52.0,1.8613737057673443e-140,3.360344453435715e-166,0.40007187718771875,0.5999281228122813,-0.1998562456245625,4.65343426441836e-140,False
pkt_len_q75,packet_length_stats,1030.128087808781,1251.59455,1445.0,1466.0,-221.46646219121908,-21.0,1.3611071032225336e-144,2.4437820776002956e-170,0.40325716571657166,0.5967428342834283,-0.19348566856685667,3.581860797954036e-144,False
iat_q95,iat_stats,0.5032734048892309,0.24439875657073434,0.08074412345886153,0.02778101563453679,0.25887464831849655,0.05296310782432474,1.2024526486836429e-122,3.983508823088457e-173,0.5961547354735474,0.5961547354735474,0.19230947094709472,2.732846928826461e-122,False
